exp_label,budget,number_of_nodes,nodes_removed,macnp_time,macnp_connectivity,gurobi_connectivity,hybrid_08_connectivity
PPI_1,0.1,1377,137,5.032980680465698,0.7754718946080346,,
PPI_1,0.2,1377,275,5.154636383056641,0.5935274152684162,,
PPI_1,0.3,1377,413,5.2100160121917725,0.2809770642399486,,
PPI_1,0.4,1377,550,5.219345808029175,0.0029775933901525,,
PPI_10,0.1,2401,240,5.268315553665161,0.8067184259687731,,
PPI_10,0.2,2401,480,5.639667510986328,0.6568790126670138,,
PPI_10,0.3,2401,720,6.088453054428101,0.3965702104756239,,
PPI_10,0.4,2401,960,6.544030427932739,0.0032924666512452773,,
PPI_11,0.1,1878,187,5.1324098110198975,0.8058051851255691,,
PPI_11,0.2,1878,375,5.3350160121917725,0.6204989045433323,,
PPI_11,0.3,1878,563,5.498979568481445,0.3485355140024654,,
PPI_11,0.4,1878,751,5.732476234436035,0.00317257183203809,,
PPI_12,0.1,1819,181,5.128117561340332,0.796608943218595,,
PPI_12,0.2,1819,363,5.335872411727905,0.6556389486801858,,
PPI_12,0.3,1819,545,5.495569229125977,0.3830319607448998,,
PPI_12,0.4,1819,727,5.726952314376831,0.0037805152378937897,,
PPI_13,0.1,3480,348,5.762804269790649,0.7642001686264288,,
PPI_13,0.2,3480,696,6.577266454696655,0.667740251774939,,
PPI_13,0.3,3480,1044,7.8075103759765625,0.48358334766321737,,
PPI_13,0.4,3480,1392,8.739128589630127,0.10725812225655261,,
PPI_14,0.1,2794,279,5.460556268692017,0.8010476520352824,,
PPI_14,0.2,2794,558,5.998181104660034,0.6668583640489368,,
PPI_14,0.3,2794,838,6.6227405071258545,0.4708089477455426,,
PPI_14,0.4,2794,1117,7.461724758148193,0.04511124109281405,,
PPI_15,0.1,2326,232,5.263401746749878,0.7923509985301439,,
PPI_15,0.2,2326,465,5.590404272079468,0.6504706106671752,,
PPI_15,0.3,2326,697,5.97591757774353,0.37256317090571234,,
PPI_15,0.4,2326,930,6.260343074798584,0.002905382506084974,,
PPI_16,0.1,2650,265,5.383026123046875,0.787853333896135,,
PPI_16,0.2,2650,530,5.843381404876709,0.6324449945239389,,
PPI_16,0.3,2650,795,6.435593128204346,0.3859756859940044,,
PPI_16,0.4,2650,1060,7.0357301235198975,0.0032693320034355693,,
PPI_17,0.1,2815,281,5.481016159057617,0.8024566643743781,,
PPI_17,0.2,2815,563,6.152528285980225,0.6588601237421221,,
PPI_17,0.3,2815,844,6.647213935852051,0.4692080857716071,,
PPI_17,0.4,2815,1126,7.433701515197754,0.022645834911709163,,
PPI_18,0.1,3163,316,5.617632865905762,0.7946787695052503,,
PPI_18,0.2,3163,632,6.280220985412598,0.6831385679237534,,
PPI_18,0.3,3163,948,7.14962363243103,0.4691523875359145,,
PPI_18,0.4,3163,1265,7.9323601722717285,0.008512692382681767,,
PPI_19,0.1,3021,302,5.54817533493042,0.7895121702374563,,
PPI_19,0.2,3021,604,6.220772981643677,0.6703684853699101,,
PPI_19,0.3,3021,906,6.950252056121826,0.47654430331617875,,
PPI_19,0.4,3021,1208,7.740533351898193,0.024101747375162703,,
PPI_2,0.1,2263,226,5.268472909927368,0.8061708105355443,,
PPI_2,0.2,2263,452,5.571828842163086,0.627836029665244,,
PPI_2,0.3,2263,678,6.01456880569458,0.3642059395213969,,
PPI_2,0.4,2263,905,6.290476560592651,0.0033600932490994,,
PPI_3,0.1,2339,233,5.293097496032715,0.8045029132915119,,
PPI_3,0.2,2339,467,5.669361352920532,0.6846400526250873,,
PPI_3,0.3,2339,701,6.042100667953491,0.3778286466130082,,
PPI_3,0.4,2339,935,6.638017416000366,0.0037749795411947,,
PPI_4,0.1,1578,157,5.071984529495239,0.7924304447373899,,
PPI_4,0.2,1578,315,5.208185434341431,0.5970753607803723,,
PPI_4,0.3,1578,473,5.320700168609619,0.3411994229129779,,
PPI_4,0.4,1578,631,5.473475694656372,0.0024378754763568,,
PPI_5,0.1,1021,102,5.011675834655762,0.7501594278141677,,
PPI_5,0.2,1021,204,5.038518905639648,0.509749922000624,,
PPI_5,0.3,1021,306,5.037705898284912,0.0907210436622201,,
PPI_5,0.4,1021,408,5.013330936431885,0.0016259902547207,,
PPI_6,0.1,1823,182,5.129147291183472,0.7980358496455165,,
PPI_6,0.2,1823,364,5.321322202682495,0.6288031996660434,,
PPI_6,0.3,1823,546,5.50590443611145,0.3710486715779292,,
PPI_6,0.4,1823,729,5.734286308288574,0.0026962338029441,,
PPI_7,0.1,2488,248,5.330883979797363,0.7884143909908761,,
PPI_7,0.2,2488,497,5.746427059173584,0.6530417027376966,,
PPI_7,0.3,2488,746,6.197492837905884,0.37431276876783404,,
PPI_7,0.4,2488,995,6.687978506088257,0.003405526056359526,,
PPI_8,0.1,591,59,5.0020387172698975,0.6902991943134673,,
PPI_8,0.2,591,118,5.001638412475586,0.41917798401834666,,
PPI_8,0.3,591,177,5.001413106918335,0.022645658607338782,,
PPI_8,0.4,591,236,5.010170936584473,0.0024349486751014562,,
PPI_9,0.1,3312,331,5.727928400039673,0.8252039201295003,,
PPI_9,0.2,3312,662,6.497201681137085,0.7131904527874527,,
PPI_9,0.3,3312,993,7.364473342895508,0.5603535486012127,,
PPI_9,0.4,3312,1324,8.45678162574768,0.14637497860843976,,
